"childcare","children","care","gender","women","security","abuse","education","sustainability","school","service","criminal","safety","prison","girls","homelessness","housing","plastic","theft","immigration","climate","aid","pollution","patients","mental","university","hospital","digital","vulnerable","disabled","water","welfare","knife","refugee","old","electricity","Member_ID","Date","Member_name","Gender","party","constituency","RegionName","WageMedianConst","WageMedianRegion","Minority_indicator"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,"2019-01","Ruth Cadbury","F","Labour","Brentford and Isleworth","London",849,796,"0"
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3952,"2019-01","Mr Toby Perkins","M","Labour","Chesterfield","East Midlands",622,640,"0"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,"2019-01","Dame Diana Johnson","F","Labour","Kingston upon Hull North","Yorkshire and The Humber",567,632,"0"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4402,"2019-01","Douglas Chapman","M","Scottish National Party","Dunfermline and West Fife","Scotland",709,702,"0"
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,"2019-01","Mr Barry Sheerman","M","Labour (Co-op)","Huddersfield","Yorkshire and The Humber",593,632,"0"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4420,"2019-01","Gavin Newlands","M","Scottish National Party","Paisley and Renfrewshire North","Scotland",802,702,"0"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4411,"2019-01","Lucy Allan","F","Conservative","Telford","West Midlands",631,652,"0"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4519,"2019-01","James Cartlidge","M","Conservative","South Suffolk","East of England",637,706,"0"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,"2019-01","Philip Dunne","M","Conservative","Ludlow","West Midlands",665,652,"0"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4613,"2019-01","Alex Burghart","M","Conservative","Brentwood and Ongar","East of England",899,706,"0"
